id,object_name,chain,object_type,address,number,number_original,object_type_short,street,street_length
207520,Коко Чикен,False,кафе,"город Москва, улица Фабрициуса, дом 30",16.0,16,кафе,улица Фабрициуса,16
205119,"Гастромаркет Столица, Открытая кухня",False,кафе,"город Москва, улица Земляной Вал, дом 2",40.0,40,кафе,улица Земляной Вал,18
211294,Точка DZY,False,кафе,"город Москва, улица Земляной Вал, дом 24/30, строение 1",18.0,18,кафе,улица Земляной Вал,18
218658,Пивотека 465,False,бар,"город Москва, Чонгарский бульвар, дом 18, корпус А",35.0,35,бар,Чонгарский бульвар,18
206298,Шаурма-шашлык,False,кафе,"город Москва, улица Маршала Чуйкова, дом 4",35.0,0,кафе,улица Маршала Чуйкова,21
211740,Шаурма,False,закусочная,"город Москва, Шарикоподшипниковская улица, дом 32",10.0,0,закусочная,Шарикоподшипниковская улица,27
220820,Вкусный кофе,False,кафе,"город Москва, Шарикоподшипниковская улица, дом 32",3.0,3,кафе,Шарикоподшипниковская улица,27
219215,Ресторан Алазанская долина,False,ресторан,"город Москва, Шенкурский проезд, дом 14",50.0,50,ресторан,Шенкурский проезд,17
222979,Alex Пекарня,False,кафе,"город Москва, проспект 60-летия Октября, дом 25, корпус 1",16.0,16,кафе,проспект 60-летия Октября,25
205267,69 Pints Бар,False,бар,"город Москва, проспект 60-летия Октября, дом 29, корпус 1",20.0,20,бар,проспект 60-летия Октября,25
209372,Шаурма,False,предприятие быстрого обслуживания,"город Москва, Шипиловский проезд, дом 59, корпус 2",20.0,0,фастфуд,Шипиловский проезд,18
77144,Семейный очаг,False,кафе,"город Москва, Шоссейная улица, дом 13",98.0,98,кафе,Шоссейная улица,15
212005,IRISH MIST PUB,False,ресторан,"город Москва, улица Шухова, дом 19",68.0,68,ресторан,улица Шухова,12
204988,Дружба народов,False,кафе,"город Москва, Южнопортовая улица, дом 16",40.0,40,кафе,Южнопортовая улица,18
214627,Пивной бар,False,бар,"город Москва, Ярославское шоссе, дом 59",32.0,32,бар,Ярославское шоссе,17
211330,Пекарня «Дон Батон»,False,кафе,"город Москва, город Зеленоград, корпус 1106",7.0,7,кафе,корпус 1106,11
211999,Кулинариум экспресс,False,магазин (отдел кулинарии),"город Москва, улица Шаболовка, дом 65, корпус 1",8.5,0,магазин,улица Шаболовка,15
211989,Вечерние огни,False,кафе,"город Москва, Ярославское шоссе, дом 144",80.0,80,кафе,Ярославское шоссе,17
206397,Бистро,False,закусочная,"город Москва, Амурская улица, дом 19",9.0,9,закусочная,Амурская улица,14
216435,Шашлычная,False,кафе,"город Москва, 1-я Вольская улица, дом 17, корпус 1",8.0,8,кафе,1-я Вольская улица,18
212224,Чайна клуб,False,ресторан,"город Москва, Привольная улица, дом 13, корпус 1",28.0,28,ресторан,Привольная улица,16
206100,Салам Алейкум,False,кафе,"город Москва, улица Щепкина, дом 25/20",40.0,40,кафе,улица Щепкина,13
